reference	text
Matthew 6:26	See the birds of the sky, that they don't sow, neither do they reap, nor gather into barns. Your heavenly Cosmic Parent feeds them. Aren't you of much more value than they?
Matthew 6:27	"""Which of you, by being anxious, can add one moment to their lifespan?"
Matthew 6:28	Why are you anxious about clothing? Consider the lilies of the field, how they grow. They don't toil, neither do they spin,
Matthew 6:29	yet I tell you that even Shlomo in all his glory was not dressed like one of these.
Matthew 6:30	But if Elohim so clothes the grass of the field, which today exists, and tomorrow is thrown into the oven, won't he much more clothe you, you of little faith?
Matthew 6:31	"""Therefore don't be anxious, saying, 'What will we eat?', 'What will we drink?' or, 'With what will we be clothed?'"
Matthew 6:32	For the Gentiles seek after all these things, for your heavenly Cosmic Parent knows that you need all these things.
Matthew 6:33	But seek first the reign of Elohim, and Elohim’s righteousness; and all these things will be given to you as well.
Matthew 6:34	Therefore don't be anxious for tomorrow, for tomorrow will be anxious for itself. Each day's own unripeness is sufficient.
Matthew 7:1	"""Don't judge, so that you won't be judged."
Matthew 7:2	For with whatever judgment you judge, you will be judged; and with whatever measure you measure, it will be measured to you.
Matthew 7:3	Why do you see the speck that is in your brother or sister's eye, but don't consider the beam that is in your own eye?
Matthew 7:4	Or how will you tell your brother or sister, 'Let me remove the speck from your eye;' and behold, the beam is in your own eye?
Matthew 7:5	You hypocrite! First remove the beam out of your own eye, and then you can see clearly to remove the speck out of your brother or sister's eye.
Matthew 7:6	"""Don't give that which is holy to the dogs, neither throw your pearls before the pigs, lest perhaps they trample them under their feet, and turn and tear you to pieces."
Matthew 7:7	"""Seek with intention, and it will be given you. Seek, and you will find. Knock, and it will be opened for you."
Matthew 7:8	For everyone who seeks with intention receives. The one who seeks finds. To the one who knocks it will be opened.
Matthew 7:9	Or who is there among you, who, if his son asks him for bread, will give him a stone?
Matthew 7:10	Or if he asks for a fish, who will give him a serpent?
Matthew 7:11	If you then, being unripe and still able to sour, know how to give good gifts to your children, how much more will your Cosmic Parent who is in heaven give good things to those who seek from him!
Matthew 7:12	Therefore whatever you desire for people to do to you, you shall also do to them; for this is the law and the prophets.
Matthew 7:13	"""Enter in by the narrow gate; for wide is the gate and broad is the way that leads to destruction, and many are those who enter in by it."
Matthew 7:14	How narrow is the gate, and restricted is the way that leads to life! Few are those who find it.
Matthew 7:15	"""Beware of false prophets, who come to you in sheep's clothing, but inwardly are ravening wolves."
Matthew 7:16	By their fruits you will know them. Do you gather grapes from thorns, or figs from thistles?
Matthew 7:17	Even so, every good tree produces good fruit; but the corrupt tree produces unripe fruit.
Matthew 7:18	A good tree can't produce unripe fruit, neither can a corrupt tree produce good fruit.
Matthew 7:19	Every tree that doesn't grow good fruit is cut down, and thrown into the fire.
Matthew 7:20	Therefore, by their fruits you will know them.
Matthew 7:21	Not everyone who says to me, 'Master, Master,' will enter into the reign of the heavens; but the one who does the will of my Cosmic Parent who is in heaven.
Matthew 7:22	Many will tell me in that day, 'Master, Master, didn't we prophesy in your name, in your name cast out demons, and in your name do many mighty works?'
Matthew 7:23	Then I will tell them, 'I never knew you. Depart from me, you who work iniquity.'
Matthew 7:24	"""Everyone therefore who hears these words of mine, and does them, I will liken them to a wise person, who built their house on a rock."
Matthew 7:25	The rain came down, the floods came, and the winds blew, and beat on that house; and it didn't fall, for it was founded on the rock.
Matthew 7:26	Everyone who hears these words of mine, and doesn't do them will be like a foolish person, who built their house on the sand.
Matthew 7:27	"The rain came down, the floods came, and the winds blew, and beat on that house; and it fell--and great was its fall."""
Matthew 7:28	It happened, when Yeshua had finished saying these things, that the multitudes were astonished at his teaching,
Matthew 7:29	for he taught them with authority, and not like the scribes.
Matthew 8:1	When he came down from the mountain, great multitudes followed him.
Matthew 8:2	"Behold, a leper came to him and worshiped him, saying, ""Master, if you want to, you can make me clean."""
Matthew 8:3	"Yeshua stretched out his hand, and touched him, saying, ""I want to. Be made clean."" Immediately his leprosy was cleansed."
Matthew 8:4	"Yeshua said to him, ""See that you tell nobody, but go, show yourself to the priest, and offer the gift that Moshe commanded, as a testimony to them."""
Matthew 8:5	When he came into Kfar Nachum, a centurion came to him, asking him,
Matthew 8:6	"and saying, ""Master, my servant lies in the house paralyzed, grievously tormented."""
Matthew 8:7	"Yeshua said to him, ""I will come and heal him."""
Matthew 8:8	"The centurion answered, ""Master, I'm not worthy for you to come under my roof. Just say the word, and my servant will be healed."
Matthew 8:9	"For I am also a person under authority, having under myself soldiers. I tell this one, 'Go,' and he goes; and tell another, 'Come,' and he comes; and tell my servant, 'Do this,' and he does it."""
Matthew 8:10	"When Yeshua heard it, he marveled, and said to those who followed, ""Most certainly I tell you, I haven't found so great a faith, not even in Israel."
Matthew 8:11	I tell you that many will come from the east and the west, and will sit down with Avraham, Yitzhak, and Ya'akov in the reign of the heavens,
Matthew 8:12	"but the children of the reign will be thrown out into the outer darkness. There will be weeping and gnashing of teeth."""
Matthew 8:13	"Yeshua said to the centurion, ""Go your way. Let it be done for you as you have believed."" His servant was healed in that hour."
Matthew 8:14	When Yeshua came into Shimon (called Kepha)'s house, he saw his wife's mother lying sick with a fever.
Matthew 8:15	He touched her hand, and the fever left her. She got up and served him.
Matthew 8:16	When evening came, they brought to him many possessed with demons. He cast out the spirits with a word, and healed all who were sick;
Matthew 8:17	"that it might be fulfilled which was spoken through Yeshayahu the prophet, saying: ""He took our infirmities, and bore our diseases."""
Matthew 8:18	Now when Yeshua saw great multitudes around him, he gave the order to depart to the other side.
Matthew 8:19	"A scribe came, and said to him, ""Teacher, I will follow you wherever you go."""
Matthew 8:20	"Yeshua said to him, ""The foxes have holes, and the birds of the sky have nests, but the Human One has nowhere to lay his head."""
Matthew 8:21	"Another of his disciples said to him, ""Master, allow me first to go and bury my father."""
Matthew 8:22	"But Yeshua said to him, ""Follow me, and leave the dead to bury their own dead."""
Matthew 8:23	When he got into a boat, his disciples followed him.
Matthew 8:24	Behold, a violent storm came up on the sea, so much that the boat was covered with the waves, but he was asleep.
Matthew 8:25	"They came to him, and woke him up, saying, ""Save us, Master! We are dying!"""
Matthew 8:26	"He said to them, ""Why are you fearful, O you of little faith?"" Then he got up, rebuked the wind and the sea, and there was a great calm."
Matthew 8:27	"The men marveled, saying, ""What kind of a person is this, that even the wind and the sea obey him?"""
